EXP to Level:,Mortal:,Immortal:,Godly:,Being:,Common Increase,,Enemy EXP:,Tier-1:,"1,500",Tier-2:,"3,000",Tier-3:,"4,500",Boss-Tier:,"10,000",Increase:,123,246,369,"20,910"
,"690,000","690,500","691,500","692,500","13,000",,,,"685,995",,"1,371,990",,"2,057,985",,"116,374,150",,"13,038","26,076","39,114","2,216,460"
,"703,125","703,625","704,625","705,625","13,125",,,,"699,033",,"1,398,066",,"2,097,099",,"118,590,610",,"13,161","26,322","39,483","2,237,370"
,"716,375","716,875","717,875","718,875","13,250",,,,"712,194",,"1,424,388",,"2,136,582",,"120,827,980",,"13,284","26,568","39,852","2,258,280"
,"729,750","730,250","731,250","732,250","13,375",,,,"725,478",,"1,450,956",,"2,176,434",,"123,086,260",,"13,407","26,814","40,221","2,279,190"
,"743,250","743,750","744,750","745,750","13,500",,,,"738,885",,"1,477,770",,"2,216,655",,"125,365,450",,"13,530","27,060","40,590","2,300,100"
,"756,875","757,375","758,375","759,375","13,625",,,,"752,415",,"1,504,830",,"2,257,245",,"127,665,550",,"13,653","27,306","40,959","2,321,010"
,"770,625","771,125","772,125","773,125","13,750",,,,"766,068",,"1,532,136",,"2,298,204",,"129,986,560",,"13,776","27,552","41,328","2,341,920"
,"784,500","785,000","786,000","787,000","13,875",,,,"779,844",,"1,559,688",,"2,339,532",,"132,328,480",,"13,899","27,798","41,697","2,362,830"
,"798,500","799,000","800,000","801,000","14,000",,,,"793,743",,"1,587,486",,"2,381,229",,"134,691,310",,"14,022","28,044","42,066","2,383,740"
,"812,625","813,125","814,125","815,125","14,125",,,,"807,765",,"1,615,530",,"2,423,295",,"137,075,050",,"14,145","28,290","42,435","2,404,650"
,"826,875","827,375","828,375","829,375","14,250",,,,"821,910",,"1,643,820",,"2,465,730",,"139,479,700",,"14,268","28,536","42,804","2,425,560"
,"841,250","841,750","842,750","843,750","14,375",,,,"836,178",,"1,672,356",,"2,508,534",,"141,905,260",,"14,391","28,782","43,173","2,446,470"
,"855,750","856,250","857,250","858,250","14,500",,,,"850,569",,"1,701,138",,"2,551,707",,"144,351,730",,"14,514","29,028","43,542","2,467,380"
,"870,375","870,875","871,875","872,875","14,625",,,,"865,083",,"1,730,166",,"2,595,249",,"146,819,110",,"14,637","29,274","43,911","2,488,290"
,"885,125","885,625","886,625","887,625","14,750",,,,"879,720",,"1,759,440",,"2,639,160",,"149,307,400",,"14,760","29,520","44,280","2,509,200"
,"900,000","900,500","901,500","902,500","14,875",,,,"894,480",,"1,788,960",,"2,683,440",,"151,816,600",,"14,883","29,766","44,649","2,530,110"
,"915,000","915,500","916,500","917,500","15,000",,,,"909,363",,"1,818,726",,"2,728,089",,"154,346,710",,"15,006","30,012","45,018","2,551,020"
,"930,125","930,625","931,625","932,625","15,125",,,,"924,369",,"1,848,738",,"2,773,107",,"156,897,730",,"15,129","30,258","45,387","2,571,930"
,"945,375","945,875","946,875","947,875","15,250",,,,"939,498",,"1,878,996",,"2,818,494",,"159,469,660",,"15,252","30,504","45,756","2,592,840"
,"960,750","961,250","962,250","963,250","15,375",,,,"954,750",,"1,909,500",,"2,864,250",,"162,062,500",,"15,375","30,750","46,125","2,613,750"
,"976,250","976,750","977,750","978,750","15,500",,,,"970,125",,"1,940,250",,"2,910,375",,"164,676,250",,"15,498","30,996","46,494","2,634,660"
,"991,875","992,375","993,375","994,375","15,625",,,,"985,623",,"1,971,246",,"2,956,869",,"167,310,910",,"15,621","31,242","46,863","2,655,570"
,"1,007,625","1,008,125","1,009,125","1,010,125","15,750",,,,"1,001,244",,"2,002,488",,"3,003,732",,"169,966,480",,"15,744","31,488","47,232","2,676,480"
,"1,023,500","1,024,000","1,025,000","1,026,000","15,875",,,,"1,016,988",,"2,033,976",,"3,050,964",,"172,642,960",,"15,867","31,734","47,601","2,697,390"
,"1,039,500","1,040,000","1,041,000","1,042,000","16,000",,,,"1,032,855",,"2,065,710",,"3,098,565",,"175,340,350",,"15,990","31,980","47,970","2,718,300"
,"1,055,625","1,056,125","1,057,125","1,058,125","16,125",,,,"1,048,845",,"2,097,690",,"3,146,535",,"178,058,650",,"16,113","32,226","48,339","2,739,210"
,"1,071,875","1,072,375","1,073,375","1,074,375","16,250",,,,"1,064,958",,"2,129,916",,"3,194,874",,"180,797,860",,"16,236","32,472","48,708","2,760,120"
,"1,088,250","1,088,750","1,089,750","1,090,750","16,375",,,,"1,081,194",,"2,162,388",,"3,243,582",,"183,557,980",,"16,359","32,718","49,077","2,781,030"
,"1,104,750","1,105,250","1,106,250","1,107,250","16,500",,,,"1,097,553",,"2,195,106",,"3,292,659",,"186,339,010",,"16,482","32,964","49,446","2,801,940"
,"1,121,375","1,121,875","1,122,875","1,123,875","16,625",,,,"1,114,035",,"2,228,070",,"3,342,105",,"189,140,950",,"16,605","33,210","49,815","2,822,850"
,"1,138,125","1,138,625","1,139,625","1,140,625","16,750",,,,"1,130,640",,"2,261,280",,"3,391,920",,"191,963,800",,"16,728","33,456","50,184","2,843,760"
,"1,155,000","1,155,500","1,156,500","1,157,500","16,875",,,,"1,147,368",,"2,294,736",,"3,442,104",,"194,807,560",,"16,851","33,702","50,553","2,864,670"
,"1,172,000","1,172,500","1,173,500","1,174,500","17,000",,,,"1,164,219",,"2,328,438",,"3,492,657",,"197,672,230",,"16,974","33,948","50,922","2,885,580"
,"1,189,125","1,189,625","1,190,625","1,191,625","17,125",,,,"1,181,193",,"2,362,386",,"3,543,579",,"200,557,810",,"17,097","34,194","51,291","2,906,490"
,"1,206,375","1,206,875","1,207,875","1,208,875","17,250",,,,"1,198,290",,"2,396,580",,"3,594,870",,"203,464,300",,"17,220","34,440","51,660","2,927,400"
,"1,223,750","1,224,250","1,225,250","1,226,250","17,375",,,,"1,215,510",,"2,431,020",,"3,646,530",,"206,391,700",,"17,343","34,686","52,029","2,948,310"
,"1,241,250","1,241,750","1,242,750","1,243,750","17,500",,,,"1,232,853",,"2,465,706",,"3,698,559",,"209,340,010",,"17,466","34,932","52,398","2,969,220"
,"1,258,875","1,259,375","1,260,375","1,261,375","17,625",,,,"1,250,319",,"2,500,638",,"3,750,957",,"212,309,230",,"17,589","35,178","52,767","2,990,130"
,"1,276,625","1,277,125","1,278,125","1,279,125","17,750",,,,"1,267,908",,"2,535,816",,"3,803,724",,"215,299,360",,"17,712","35,424","53,136","3,011,040"
,"1,294,500","1,295,000","1,296,000","1,297,000","17,875",,,,"1,285,620",,"2,571,240",,"3,856,860",,"218,310,400",,"17,835","35,670","53,505","3,031,950"
,"1,312,500","1,313,000","1,314,000","1,315,000","18,000",,,,"1,303,455",,"2,606,910",,"3,910,365",,"221,342,350",,"17,958","35,916","53,874","3,052,860"
,"1,330,625","1,331,125","1,332,125","1,333,125","18,125",,,,"1,321,413",,"2,642,826",,"3,964,239",,"224,395,210",,"18,081","36,162","54,243","3,073,770"
,"1,348,875","1,349,375","1,350,375","1,351,375","18,250",,,,"1,339,494",,"2,678,988",,"4,018,482",,"227,468,980",,"18,204","36,408","54,612","3,094,680"
,"1,367,250","1,367,750","1,368,750","1,369,750","18,375",,,,"1,357,698",,"2,715,396",,"4,073,094",,"230,563,660",,"18,327","36,654","54,981","3,115,590"
,"1,385,750","1,386,250","1,387,250","1,388,250","18,500",,,,"1,376,025",,"2,752,050",,"4,128,075",,"233,679,250",,"18,450","36,900","55,350","3,136,500"
,"1,404,375","1,404,875","1,405,875","1,406,875","18,625",,,,"1,394,475",,"2,788,950",,"4,183,425",,"236,815,750",,"18,573","37,146","55,719","3,157,410"
,"1,423,125","1,423,625","1,424,625","1,425,625","18,750",,,,"1,413,048",,"2,826,096",,"4,239,144",,"239,973,160",,"18,696","37,392","56,088","3,178,320"
,"1,442,000","1,442,500","1,443,500","1,444,500","18,875",,,,"1,431,744",,"2,863,488",,"4,295,232",,"243,151,480",,"18,819","37,638","56,457","3,199,230"
,"1,461,000","1,461,500","1,462,500","1,463,500","19,000",,,,"1,450,563",,"2,901,126",,"4,351,689",,"246,350,710",,"18,942","37,884","56,826","3,220,140"
,"1,480,125","1,480,625","1,481,625","1,482,625","19,125",,,,"1,469,505",,"2,939,010",,"4,408,515",,"249,570,850",,"19,065","38,130","57,195","3,241,050"
,"1,499,375","1,499,875","1,500,875","1,501,875","19,250",,,,"1,488,570",,"2,977,140",,"4,465,710",,"252,811,900",,"19,188","38,376","57,564","3,261,960"
,"1,518,750","1,519,250","1,520,250","1,521,250","19,375",,,,"1,507,758",,"3,015,516",,"4,523,274",,"256,073,860",,"19,311","38,622","57,933","3,282,870"
,"1,538,250","1,538,750","1,539,750","1,540,750","19,500",,,,"1,527,069",,"3,054,138",,"4,581,207",,"259,356,730",,"19,434","38,868","58,302","3,303,780"
,"1,557,875","1,558,375","1,559,375","1,560,375","19,625",,,,"1,546,503",,"3,093,006",,"4,639,509",,"262,660,510",,"19,557","39,114","58,671","3,324,690"
,"1,577,625","1,578,125","1,579,125","1,580,125","19,750",,,,"1,566,060",,"3,132,120",,"4,698,180",,"265,985,200",,"19,680","39,360","59,040","3,345,600"
,"1,597,500","1,598,000","1,599,000","1,600,000","19,875",,,,"1,585,740",,"3,171,480",,"4,757,220",,"269,330,800",,"19,803","39,606","59,409","3,366,510"
,"1,617,500","1,618,000","1,619,000","1,620,000","20,000",,,,"1,605,543",,"3,211,086",,"4,816,629",,"272,697,310",,"19,926","39,852","59,778","3,387,420"
,"1,637,625","1,638,125","1,639,125","1,640,125","20,125",,,,"1,625,469",,"3,250,938",,"4,876,407",,"276,084,730",,"20,049","40,098","60,147","3,408,330"
,"1,657,875","1,658,375","1,659,375","1,660,375","20,250",,,,"1,645,518",,"3,291,036",,"4,936,554",,"279,493,060",,"20,172","40,344","60,516","3,429,240"
,"1,678,250","1,678,750","1,679,750","1,680,750","20,375",,,,"1,665,690",,"3,331,380",,"4,997,070",,"282,922,300",,"20,295","40,590","60,885","3,450,150"
,"1,698,750","1,699,250","1,700,250","1,701,250","20,500",,,,"1,685,985",,"3,371,970",,"5,057,955",,"286,372,450",,"20,418","40,836","61,254","3,471,060"
,"1,719,375","1,719,875","1,720,875","1,721,875","20,625",,,,"1,706,403",,"3,412,806",,"5,119,209",,"289,843,510",,"20,541","41,082","61,623","3,491,970"
,"1,740,125","1,740,625","1,741,625","1,742,625","20,750",,,,"1,726,944",,"3,453,888",,"5,180,832",,"293,335,480",,"20,664","41,328","61,992","3,512,880"
,"1,761,000","1,761,500","1,762,500","1,763,500","20,875",,,,"1,747,608",,"3,495,216",,"5,242,824",,"296,848,360",,"20,787","41,574","62,361","3,533,790"
,"1,782,000","1,782,500","1,783,500","1,784,500","21,000",,,,"1,768,395",,"3,536,790",,"5,305,185",,"300,382,150",,"20,910","41,820","62,730","3,554,700"
,"1,803,125","1,803,625","1,804,625","1,805,625","21,125",,,,"1,789,305",,"3,578,610",,"5,367,915",,"303,936,850",,"21,033","42,066","63,099","3,575,610"
,"1,824,375","1,824,875","1,825,875","1,826,875","21,250",,,,"1,810,338",,"3,620,676",,"5,431,014",,"307,512,460",,"21,156","42,312","63,468","3,596,520"
,"1,845,750","1,846,250","1,847,250","1,848,250","21,375",,,,"1,831,494",,"3,662,988",,"5,494,482",,"311,108,980",,"21,279","42,558","63,837","3,617,430"
,"1,867,250","1,867,750","1,868,750","1,869,750","21,500",,,,"1,852,773",,"3,705,546",,"5,558,319",,"314,726,410",,"21,402","42,804","64,206","3,638,340"
,"1,888,875","1,889,375","1,890,375","1,891,375","21,625",,,,"1,874,175",,"3,748,350",,"5,622,525",,"318,364,750",,"21,525","43,050","64,575","3,659,250"
,"1,910,625","1,911,125","1,912,125","1,913,125","21,750",,,,"1,895,700",,"3,791,400",,"5,687,100",,"322,024,000",,"21,648","43,296","64,944","3,680,160"
,"1,932,500","1,933,000","1,934,000","1,935,000","21,875",,,,"1,917,348",,"3,834,696",,"5,752,044",,"325,704,160",,"21,771","43,542","65,313","3,701,070"
,"1,954,500","1,955,000","1,956,000","1,957,000","22,000",,,,"1,939,119",,"3,878,238",,"5,817,357",,"329,405,230",,"21,894","43,788","65,682","3,721,980"
,"1,976,625","1,977,125","1,978,125","1,979,125","22,125",,,,"1,961,013",,"3,922,026",,"5,883,039",,"333,127,210",,"22,017","44,034","66,051","3,742,890"
,"1,998,875","1,999,375","2,000,375","2,001,375","22,250",,,,"1,983,030",,"3,966,060",,"5,949,090",,"336,870,100",,"22,140","44,280","66,420","3,763,800"
,"2,021,250","2,021,750","2,022,750","2,023,750","22,375",,,,"2,005,170",,"4,010,340",,"6,015,510",,"340,633,900",,"22,263","44,526","66,789","3,784,710"
,"2,043,750","2,044,250","2,045,250","2,046,250","22,500",,,,"2,027,433",,"4,054,866",,"6,082,299",,"344,418,610",,"22,386","44,772","67,158","3,805,620"
,"2,066,375","2,066,875","2,067,875","2,068,875","22,625",,,,"2,049,819",,"4,099,638",,"6,149,457",,"348,224,230",,"22,509","45,018","67,527","3,826,530"
